"type","slug","url","intent","monetization","priority","status","owner","due_week","affiliate_priority","cta_test_status","hot_boost_week"
"new-money-article","ai-tools-for-ecommerce","https://lookforit.xyz/articles/ai-tools-for-ecommerce-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-lawyers","https://lookforit.xyz/articles/ai-tools-for-lawyers-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-customer-support","https://lookforit.xyz/articles/ai-tools-for-customer-support-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-real-estate","https://lookforit.xyz/articles/ai-tools-for-real-estate-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-tools-for-recruiters","https://lookforit.xyz/articles/ai-tools-for-recruiters-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","free-ai-tools-for-students","https://lookforit.xyz/articles/free-ai-tools-for-students-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","best-ai-seo-tools-for-agencies","https://lookforit.xyz/articles/best-ai-seo-tools-for-agencies-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","ai-automation-tools-for-small-business","https://lookforit.xyz/articles/ai-automation-tools-for-small-business-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","best-ai-meeting-assistants","https://lookforit.xyz/articles/best-ai-meeting-assistants-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"new-money-article","best-ai-coding-tools-for-teams","https://lookforit.xyz/articles/best-ai-coding-tools-for-teams-2026.html","commercial investigation","affiliate+ads+email-capture","96","todo","editorial","2026-04-08","normal","backlog",""
"money-page-optimization","gemini","https://lookforit.xyz/tools/gemini.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","google-gemini","https://lookforit.xyz/tools/google-gemini.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","midjourney","https://lookforit.xyz/tools/midjourney.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","deepseek","https://lookforit.xyz/tools/deepseek.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","claude","https://lookforit.xyz/tools/claude.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","chatgpt","https://lookforit.xyz/tools/chatgpt.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","cursor","https://lookforit.xyz/tools/cursor.html","commercial investigation","affiliate+ads+submit-tool-cta","99","todo","editorial","2026-04-08","high","ready","2026-Www"
"article-refresh","best-ai-tools-creators-2026","https://lookforit.xyz/articles/best-ai-tools-creators-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","best-ai-tools-students-2026","https://lookforit.xyz/articles/best-ai-tools-students-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-image-generation-comparison-2026","https://lookforit.xyz/articles/ai-image-generation-comparison-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","top-ai-tools-2026","https://lookforit.xyz/articles/top-ai-tools-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","best-ai-productivity-tools-2026","https://lookforit.xyz/articles/best-ai-productivity-tools-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","small-business-ai-roadmap-2026","https://lookforit.xyz/articles/small-business-ai-roadmap-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","best-ai-tools-business-2026","https://lookforit.xyz/articles/best-ai-tools-business-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","best-free-ai-tools-2026","https://lookforit.xyz/articles/best-free-ai-tools-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","claude-sonnet-4-6-business-implementation-2026","https://lookforit.xyz/articles/claude-sonnet-4-6-business-implementation-2026.html","informational","internal-links-to-tools+ads","92","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","on-device-ai-edge-stack-2026","https://lookforit.xyz/articles/on-device-ai-edge-stack-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-agents-workflow-automation-2026","https://lookforit.xyz/articles/ai-agents-workflow-automation-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-coding-stack-for-teams-2026","https://lookforit.xyz/articles/ai-coding-stack-for-teams-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-agents-2026","https://lookforit.xyz/articles/ai-agents-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","reasoning-models-2026","https://lookforit.xyz/articles/reasoning-models-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","gpt-5-4-enterprise-use-cases-2026","https://lookforit.xyz/articles/gpt-5-4-enterprise-use-cases-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","gpt5-next-gen-llms-2026","https://lookforit.xyz/articles/gpt5-next-gen-llms-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-video-marketing-workflow-2026","https://lookforit.xyz/articles/ai-video-marketing-workflow-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-tools-for-ecommerce","https://lookforit.xyz/articles/ai-tools-for-ecommerce.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-tools-for-lawyers","https://lookforit.xyz/articles/ai-tools-for-lawyers.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","gemini-3-workspace-productivity-guide-2026","https://lookforit.xyz/articles/gemini-3-workspace-productivity-guide-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","earn-money-ai-tools-2026","https://lookforit.xyz/articles/earn-money-ai-tools-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","gemini-workflow-trends-2026","https://lookforit.xyz/articles/gemini-workflow-trends-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-tools-editorial-hub-2026","https://lookforit.xyz/articles/ai-tools-editorial-hub-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-seo-content-operations-2026","https://lookforit.xyz/articles/ai-seo-content-operations-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-search-and-seo-strategy-2026","https://lookforit.xyz/articles/ai-search-and-seo-strategy-2026.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"article-refresh","ai-tools-for-customer-support","https://lookforit.xyz/articles/ai-tools-for-customer-support.html","informational","internal-links-to-tools+ads","75","todo","editorial","2026-04-08","normal","backlog",""
"money-page-optimization","craft-pilot","https://lookforit.xyz/tools/craft-pilot.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-labs","https://lookforit.xyz/tools/craft-labs.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-ops","https://lookforit.xyz/tools/craft-ops.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-one","https://lookforit.xyz/tools/craft-one.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-hub","https://lookforit.xyz/tools/craft-hub.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-bridge","https://lookforit.xyz/tools/craft-bridge.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-cloud","https://lookforit.xyz/tools/craft-cloud.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-ai","https://lookforit.xyz/tools/craft-ai.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-assist","https://lookforit.xyz/tools/craft-assist.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-flow","https://lookforit.xyz/tools/craft-flow.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-forge","https://lookforit.xyz/tools/craft-forge.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-core","https://lookforit.xyz/tools/craft-core.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","craft-engine","https://lookforit.xyz/tools/craft-engine.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","figma-ai","https://lookforit.xyz/tools/figma-ai.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","example-ai-tool","https://lookforit.xyz/tools/example-ai-tool.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","elevenlabs","https://lookforit.xyz/tools/elevenlabs.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
"money-page-optimization","fireflies-ai","https://lookforit.xyz/tools/fireflies-ai.html","commercial investigation","affiliate+ads+submit-tool-cta","74","todo","editorial","2026-04-08","high","ready","2026-Www"
