"name","category","description","website","status","updatedAt"
"Grok","AI Assistant","xAI\'s conversational AI with real-time X data and witty responses.","https://lookforit.xyz/tools/grok.html","verified-existing","2026-03-15"
"Google Gemini","AI Assistant","Google\'s flagship multimodal AI integrated with Search and Workspace.","https://lookforit.xyz/tools/google-gemini.html","verified-existing","2026-03-15"
"Leonardo AI","AI Image","AI image generation for concept art, game assets, and product imagery.","https://lookforit.xyz/tools/leonardo-ai.html","verified-existing","2026-03-15"
"ChatGPT","AI Assistant","Conversational AI for drafting, Q&A, coding help, and more.","https://lookforit.xyz/tools/chatgpt.html","verified-existing","2026-03-15"
"Claude","AI Assistant","AI assistant for analysis, writing, reasoning, and coding help.","https://lookforit.xyz/tools/claude.html","verified-existing","2026-03-15"
"Midjourney","AI Image","Text-to-image generation with high-quality artistic outputs.","https://lookforit.xyz/tools/midjourney.html","verified-existing","2026-03-15"
"DALL-E","AI Image","OpenAI\'s text-to-image generator for creative visuals and edits.","https://lookforit.xyz/tools/dall-e.html","verified-existing","2026-03-15"
"Stable Diffusion","AI Image","Open-source text-to-image model for flexible, local, and hosted use.","https://lookforit.xyz/tools/stable-diffusion.html","verified-existing","2026-03-15"
"Perplexity","AI Assistant","Answer-focused AI search engine with cited sources.","https://lookforit.xyz/tools/perplexity.html","verified-existing","2026-03-15"
"GitHub Copilot","AI Code","AI pair programmer for code completion and suggestions.","https://lookforit.xyz/tools/github-copilot.html","verified-existing","2026-03-15"
"Replit Ghostwriter","AI Code","AI coding assistant built into Replit for faster development.","https://lookforit.xyz/tools/replit-ghostwriter.html","verified-existing","2026-03-15"
"Notion AI","AI Productivity","Embedded AI in Notion for writing, summarizing, and tasking.","https://lookforit.xyz/tools/notion-ai.html","verified-existing","2026-03-15"
"Jasper","AI Writing","AI writing assistant for marketing copy and content creation.","https://lookforit.xyz/tools/jasper.html","verified-existing","2026-03-15"
"Canva AI","AI Image","AI-powered design tools including Magic Design and text-to-image.","https://lookforit.xyz/tools/canva-ai.html","verified-existing","2026-03-15"
"Runway","AI Video","AI video and image tools, including text-to-video and inpainting.","https://lookforit.xyz/tools/runway.html","verified-existing","2026-03-15"
"Descript","AI Video","Audio/video editing with AI transcription, overdub, and cleanup.","https://lookforit.xyz/tools/descript.html","verified-existing","2026-03-15"
"ElevenLabs","AI Voice","High-quality AI voice synthesis and cloning.","https://lookforit.xyz/tools/elevenlabs.html","verified-existing","2026-03-15"
"Synthesia","AI Video","AI-generated presenter videos from text scripts.","https://lookforit.xyz/tools/synthesia.html","verified-existing","2026-03-15"
"Llama 3","AI Assistant","Open large language model series for chat and reasoning tasks.","https://lookforit.xyz/tools/llama-3.html","verified-existing","2026-03-15"
"Gemini","AI Assistant","Google\'s multimodal AI for text, vision, and code assistance.","https://lookforit.xyz/tools/gemini.html","verified-existing","2026-03-15"
"Mistral AI","AI Assistant","Open and efficient language models for chat and coding.","https://lookforit.xyz/tools/mistral-ai.html","verified-existing","2026-03-15"
"Hugging Face","AI Assistant","Hub for models, datasets, and Spaces to build and deploy AI.","https://lookforit.xyz/tools/hugging-face.html","verified-existing","2026-03-15"
"LangChain","AI Code","Framework for building LLM-powered apps with chaining and tooling.","https://lookforit.xyz/tools/langchain.html","verified-existing","2026-03-15"
"Zapier AI","AI Automation","Automate workflows with AI steps and natural language triggers.","https://lookforit.xyz/tools/zapier-ai.html","verified-existing","2026-03-15"
"Make.com","AI Automation","No-code automation with AI modules for data enrichment.","https://lookforit.xyz/tools/make-com.html","verified-existing","2026-03-15"
"Airtable AI","AI Productivity","AI-assisted bases for classification, summarization, and text ops.","https://lookforit.xyz/tools/airtable-ai.html","verified-existing","2026-03-15"
"Coda AI","AI Productivity","AI in documents for summaries, tables, and automations.","https://lookforit.xyz/tools/coda-ai.html","verified-existing","2026-03-15"
"Fireflies.ai","AI Productivity","AI meeting assistant for transcription and action items.","https://lookforit.xyz/tools/fireflies-ai.html","verified-existing","2026-03-15"
"Otter.ai","AI Productivity","Meeting transcription and summaries with collaboration.","https://lookforit.xyz/tools/otter-ai.html","verified-existing","2026-03-15"
"Grammarly","AI Writing","Writing assistant for grammar, tone, and clarity.","https://lookforit.xyz/tools/grammarly.html","verified-existing","2026-03-15"
"QuillBot","AI Writing","Paraphrasing and grammar tool with AI rewriting.","https://lookforit.xyz/tools/quillbot.html","verified-existing","2026-03-15"
"Copy.ai","AI Writing","AI copywriting for marketing content and campaigns.","https://lookforit.xyz/tools/copy-ai.html","verified-existing","2026-03-15"
"Writesonic","AI Writing","AI writer for blogs, ads, and product descriptions.","https://lookforit.xyz/tools/writesonic.html","verified-existing","2026-03-15"
"Wordtune","AI Writing","AI rewriting and tone adjustment for clearer text.","https://lookforit.xyz/tools/wordtune.html","verified-existing","2026-03-15"
"Tome","AI Productivity","AI-native presentation and storytelling tool.","https://lookforit.xyz/tools/tome.html","verified-existing","2026-03-15"
"SlidesAI","AI Productivity","Generate slide decks from text using AI.","https://lookforit.xyz/tools/slidesai.html","verified-existing","2026-03-15"
"Gamma","AI Productivity","AI docs and slides with modern layouts.","https://lookforit.xyz/tools/gamma.html","verified-existing","2026-03-15"
"Framer AI","AI Image","Generate web pages and layouts with AI in Framer.","https://lookforit.xyz/tools/framer-ai.html","verified-existing","2026-03-15"
"Figma AI","AI Image","Figma assistants for design automation and asset generation.","https://lookforit.xyz/tools/figma-ai.html","verified-existing","2026-03-15"
"Remove.bg","AI Image","AI background removal for images.","https://lookforit.xyz/tools/remove-bg.html","verified-existing","2026-03-15"
"Cleanup.pictures","AI Image","AI object removal and cleanup for photos.","https://lookforit.xyz/tools/cleanup-pictures.html","verified-existing","2026-03-15"
"RunPod","AI Assistant","On-demand GPU cloud for AI workloads.","https://lookforit.xyz/tools/runpod.html","verified-existing","2026-03-15"
"Replicate","AI Assistant","Host and run machine learning models via API.","https://lookforit.xyz/tools/replicate.html","verified-existing","2026-03-15"
"Modal","AI Assistant","Serverless GPU/CPU for ML inference and workflows.","https://lookforit.xyz/tools/modal.html","verified-existing","2026-03-15"
"Cerebras","AI Assistant","AI compute platform with wafer-scale engines.","https://lookforit.xyz/tools/cerebras.html","verified-existing","2026-03-15"
"AWS Bedrock","AI Assistant","Managed foundation model APIs on AWS.","https://lookforit.xyz/tools/aws-bedrock.html","verified-existing","2026-03-15"
"Azure OpenAI Service","AI Assistant","OpenAI models hosted on Azure with enterprise controls.","https://lookforit.xyz/tools/azure-openai.html","verified-existing","2026-03-15"
"Vertex AI","AI Assistant","Google Cloud\'s platform for training and deploying AI models.","https://lookforit.xyz/tools/vertex-ai.html","verified-existing","2026-03-15"
"Pinecone","AI Assistant","Managed vector database for similarity search.","https://lookforit.xyz/tools/pinecone.html","verified-existing","2026-03-15"
"Weaviate","AI Assistant","Open-source vector database with hybrid search.","https://lookforit.xyz/tools/weaviate.html","verified-existing","2026-03-15"
"Chroma","AI Assistant","Open-source embeddings database for AI apps.","https://lookforit.xyz/tools/chroma.html","verified-existing","2026-03-15"
"Milvus","AI Assistant","Vector database for scalable similarity search.","https://lookforit.xyz/tools/milvus.html","verified-existing","2026-03-15"
"Supabase Vector","AI Assistant","Postgres with vector support for AI search.","https://lookforit.xyz/tools/supabase-vector.html","verified-existing","2026-03-15"
"Qdrant","AI Assistant","Open-source vector database optimized for filtering.","https://lookforit.xyz/tools/qdrant.html","verified-existing","2026-03-15"
"Zilliz","AI Assistant","Managed Milvus service for vector search.","https://lookforit.xyz/tools/zilliz.html","verified-existing","2026-03-15"
"OctoAI","AI Assistant","Inference and model-serving platform for generative AI.","https://lookforit.xyz/tools/octoai.html","verified-existing","2026-03-15"
"Anyscale","AI Assistant","Ray-based platform for scalable AI workloads.","https://lookforit.xyz/tools/anyscale.html","verified-existing","2026-03-15"
"Weights & Biases","AI Assistant","Experiment tracking and MLOps platform.","https://lookforit.xyz/tools/weights-and-biases.html","verified-existing","2026-03-15"
"Comet ML","AI Assistant","Experiment management and model monitoring.","https://lookforit.xyz/tools/comet-ml.html","verified-existing","2026-03-15"
"Neptune.ai","AI Assistant","Metadata store for MLOps and experiment tracking.","https://lookforit.xyz/tools/neptune-ai.html","verified-existing","2026-03-15"
"Label Studio","AI Assistant","Open-source data labeling for vision, NLP, and audio.","https://lookforit.xyz/tools/label-studio.html","verified-existing","2026-03-15"
"Scale AI","AI Assistant","Data labeling and synthetic data for AI pipelines.","https://lookforit.xyz/tools/scale-ai.html","verified-existing","2026-03-15"
"Snorkel","AI Assistant","Programmatic data labeling and weak supervision.","https://lookforit.xyz/tools/snorkel.html","verified-existing","2026-03-15"
"Upstage Solar LLM","AI Assistant","Enterprise-grade Korean/English LLMs and APIs.","https://lookforit.xyz/tools/upstage-solar.html","verified-existing","2026-03-15"
"Writer","AI Writing","Enterprise AI writing platform with guardrails and style guides.","https://lookforit.xyz/tools/writer.html","verified-existing","2026-03-15"
"HeyGen","AI Video","AI avatar and video generation for presenters.","https://lookforit.xyz/tools/heygen.html","verified-existing","2026-03-15"
"Pika Labs","AI Video","AI text-to-video and video editing platform.","https://lookforit.xyz/tools/pika-labs.html","verified-existing","2026-03-15"
"EleutherAI GPT-NeoX","AI Assistant","Open-source GPT-NeoX language model family.","https://lookforit.xyz/tools/gpt-neox.html","verified-existing","2026-03-15"
"Anthropic API","AI Assistant","API access to Claude models for text and function calling.","https://lookforit.xyz/tools/anthropic-api.html","verified-existing","2026-03-15"
"OpenAI API","AI Assistant","API access to GPT, embeddings, vision, and tooling.","https://lookforit.xyz/tools/openai-api.html","verified-existing","2026-03-15"
"LMSYS Chatbot Arena","AI Assistant","Leaderboard and evaluation arena for LLM comparisons.","https://lookforit.xyz/tools/lmsys-arena.html","verified-existing","2026-03-15"
"Eval Harness (HELM)","AI Assistant","HELM evaluation framework for language models.","https://lookforit.xyz/tools/helm.html","verified-existing","2026-03-15"
"LangSmith","AI Assistant","Observability and tracing for LLM applications.","https://lookforit.xyz/tools/langsmith.html","verified-existing","2026-03-15"
"PromptLayer","AI Assistant","Prompt management and logging for LLM calls.","https://lookforit.xyz/tools/promptlayer.html","verified-existing","2026-03-15"
"Humanloop","AI Assistant","Human feedback, evaluation, and prompt management platform.","https://lookforit.xyz/tools/humanloop.html","verified-existing","2026-03-15"
"Cursor","AI Code","AI-first code editor with multi-file context and smart refactoring.","https://lookforit.xyz/tools/cursor.html","verified-existing","2026-03-15"
"Windsurf","AI Code","AI coding workspace by Codeium for fast generation and iteration.","https://lookforit.xyz/tools/windsurf.html","verified-existing","2026-03-15"
"Codeium","AI Code","Free AI coding assistant with autocomplete and chat for developers.","https://lookforit.xyz/tools/codeium.html","verified-existing","2026-03-15"
"Tabnine","AI Code","AI assistant focused on private, enterprise-grade code completion.","https://lookforit.xyz/tools/tabnine.html","verified-existing","2026-03-15"
"Phind","AI Assistant","Developer-focused AI search for coding solutions and explanations.","https://lookforit.xyz/tools/phind.html","verified-existing","2026-03-15"
"Together AI","AI Assistant","Cloud platform to run and fine-tune open-source AI models at scale.","https://lookforit.xyz/tools/together-ai.html","verified-existing","2026-03-15"
"Cohere","AI Assistant","Enterprise language models for chat, search, and retrieval tasks.","https://lookforit.xyz/tools/cohere.html","verified-existing","2026-03-15"
"AI21 Labs","AI Assistant","Language models and tools for content generation and reasoning tasks.","https://lookforit.xyz/tools/ai21.html","verified-existing","2026-03-15"
"DeepSeek","AI Assistant","Reasoning-focused LLM platform with competitive coding performance.","https://lookforit.xyz/tools/deepseek.html","verified-existing","2026-03-15"
"Character.AI","AI Assistant","Conversational AI platform built around customizable AI personas.","https://lookforit.xyz/tools/character-ai.html","verified-existing","2026-03-15"
"Poe","AI Assistant","Unified chat platform to access multiple leading AI models in one place.","https://lookforit.xyz/tools/poe.html","verified-existing","2026-03-15"
"You.com","AI Assistant","AI search engine combining web results with generated summaries.","https://lookforit.xyz/tools/you-com.html","verified-existing","2026-03-15"
"Blackbox AI","AI Code","AI coding helper for snippets, autocomplete, and code search.","https://lookforit.xyz/tools/blackbox-ai.html","verified-existing","2026-03-15"
"Bolt.new","AI Code","Prompt-driven app builder that generates and runs full-stack projects.","https://lookforit.xyz/tools/bolt-new.html","verified-existing","2026-03-15"
"Lovable","AI Code","AI app creation platform focused on fast product MVP development.","https://lookforit.xyz/tools/lovable.html","verified-existing","2026-03-15"
"Suno","AI Video","AI music generation tool for creating songs from text prompts.","https://lookforit.xyz/tools/suno.html","verified-existing","2026-03-15"
"Udio","AI Video","Generative AI music platform for vocals, beats, and full tracks.","https://lookforit.xyz/tools/udio.html","verified-existing","2026-03-15"
"Murf AI","AI Voice","AI voiceover platform for marketing videos, courses, and explainers.","https://lookforit.xyz/tools/murf-ai.html","verified-existing","2026-03-15"
"Speechify","AI Voice","Text-to-speech app for reading articles, docs, and notes aloud.","https://lookforit.xyz/tools/speechify.html","verified-existing","2026-03-15"
"InVideo AI","AI Video","AI video creator for scripts, stock footage, voiceovers, and edits.","https://lookforit.xyz/tools/invideo-ai.html","verified-existing","2026-03-15"
"VEED AI","AI Video","Online AI video editor with subtitles, cleanup, and quick publishing.","https://lookforit.xyz/tools/veed-ai.html","verified-existing","2026-03-15"
"CapCut AI","AI Video","AI-assisted video editing suite for creators and short-form content.","https://lookforit.xyz/tools/capcut-ai.html","verified-existing","2026-03-15"
"ClickUp AI","AI Productivity","AI assistant inside ClickUp for tasks, docs, and project planning.","https://lookforit.xyz/tools/clickup-ai.html","verified-existing","2026-03-15"
"Mem AI","AI Productivity","AI-powered notes app that auto-organizes ideas and knowledge.","https://lookforit.xyz/tools/mem-ai.html","verified-existing","2026-03-15"
"Rewind AI","AI Productivity","Personal AI assistant that helps search your past meetings and notes.","https://lookforit.xyz/tools/rewind-ai.html","verified-existing","2026-03-15"
"Adobe Firefly","AI Image","Creative AI suite for image generation, edits, and style experimentation inside Adobe workflows.","https://www.adobe.com/products/firefly.html","curated-trending","2026-03-15"
"Ideogram","AI Image","Image generator known for strong typography handling in posters, ads, and social graphics.","https://ideogram.ai","curated-trending","2026-03-15"
"Flux.1","AI Image","High-quality image model family used for realistic visuals, product renders, and concept exploration.","https://blackforestlabs.ai","curated-trending","2026-03-15"
"Krea","AI Image","Real-time visual generation and creative iteration environment for designers and teams.","https://www.krea.ai","curated-trending","2026-03-15"
"Playground AI","AI Image","Prompt-based image generation and editing for fast visual experimentation.","https://playground.com","curated-trending","2026-03-15"
"Clipdrop","AI Image","AI image editing toolkit for cleanup, relighting, background removal, and upscaling.","https://clipdrop.co","curated-trending","2026-03-15"
"Recraft","AI Image","Brand-safe image generation focused on vector and design consistency for teams.","https://www.recraft.ai","curated-trending","2026-03-15"
"Artbreeder","AI Image","Creative blending platform for portraits, concepts, and style variations.","https://www.artbreeder.com","curated-trending","2026-03-15"
"NightCafe","AI Image","Community-focused image generation platform with multiple model backends.","https://creator.nightcafe.studio","curated-trending","2026-03-15"
"Lexica","AI Image","Image generation and prompt discovery engine for visual ideation workflows.","https://lexica.art","curated-trending","2026-03-15"
"Poe Video","AI Video","Experimental video workflows through model routing and prompt-driven generation.","https://poe.com","curated-trending","2026-03-15"
"Luma Dream Machine","AI Video","Text and image to video generation with cinematic motion styles.","https://lumalabs.ai/dream-machine","curated-trending","2026-03-15"
"Kaiber","AI Video","AI video creation for music visuals, motion loops, and creative storytelling.","https://kaiber.ai","curated-trending","2026-03-15"
"Pictory","AI Video","Turns scripts and articles into videos with automatic scene and caption handling.","https://pictory.ai","curated-trending","2026-03-15"
"Wisecut","AI Video","Automates video cutting, silence removal, and short-form social edits.","https://www.wisecut.video","curated-trending","2026-03-15"
"Opus Clip","AI Video","Repurposes long videos into short social clips using hook and engagement detection.","https://www.opus.pro","curated-trending","2026-03-15"
"Filmora AI","AI Video","Consumer-friendly video editor with AI cutout, captions, and content generation tools.","https://filmora.wondershare.com","curated-trending","2026-03-15"
"Descript Rooms","AI Video","Collaborative production workflows with transcript-first editing and publishing.","https://www.descript.com","curated-trending","2026-03-15"
"Topaz Video AI","AI Video","AI-powered video enhancement, interpolation, and restoration software.","https://www.topazlabs.com/topaz-video-ai","curated-trending","2026-03-15"
"Viggle","AI Video","Animation and motion transfer workflows for short-form creator content.","https://viggle.ai","curated-trending","2026-03-15"
"GitLab Duo","AI Code","AI coding and DevSecOps assistant integrated across GitLab workflows.","https://about.gitlab.com/gitlab-duo/","curated-trending","2026-03-15"
"Amazon Q Developer","AI Code","Coding assistant for AWS-centric development, operations, and cloud troubleshooting.","https://aws.amazon.com/q/developer/","curated-trending","2026-03-15"
"Sourcegraph Cody","AI Code","Codebase-aware AI assistant for large repositories and enterprise developer teams.","https://sourcegraph.com/cody","curated-trending","2026-03-15"
"JetBrains AI Assistant","AI Code","Native AI coding support inside JetBrains IDEs for completion, docs, and refactors.","https://www.jetbrains.com/ai/","curated-trending","2026-03-15"
"Aider","AI Code","Terminal-based pair programming tool for repository-aware code editing with LLMs.","https://aider.chat","curated-trending","2026-03-15"
"Continue","AI Code","Open-source coding assistant extension for IDE workflows with configurable models.","https://continue.dev","curated-trending","2026-03-15"
"CodeRabbit","AI Code","AI reviewer for pull requests focused on correctness, maintainability, and clarity.","https://www.coderabbit.ai","curated-trending","2026-03-15"
"Greptile","AI Code","Code review and reasoning assistant designed for large, evolving codebases.","https://www.greptile.com","curated-trending","2026-03-15"
"MutableAI","AI Code","AI coding support for drafting, refactoring, and understanding complex code flows.","https://mutable.ai","curated-trending","2026-03-15"
"Pieces Copilot","AI Code","Developer memory and snippet intelligence assistant for coding workflows.","https://pieces.app","curated-trending","2026-03-15"
"Speechmatics","AI Voice","Speech-to-text platform focused on enterprise-grade multilingual transcription.","https://www.speechmatics.com","curated-trending","2026-03-15"
"AssemblyAI","AI Voice","Speech AI APIs for transcription, summarization, and audio intelligence applications.","https://www.assemblyai.com","curated-trending","2026-03-15"
"Deepgram","AI Voice","Voice AI platform for low-latency speech recognition and conversational agents.","https://deepgram.com","curated-trending","2026-03-15"
"Rev AI","AI Voice","Speech recognition APIs for transcription and captioning workflows.","https://www.rev.ai","curated-trending","2026-03-15"
"Resemble AI","AI Voice","Voice generation and synthetic speech tools for product and media use cases.","https://www.resemble.ai","curated-trending","2026-03-15"
"PlayHT","AI Voice","Voice synthesis platform for creators, narrators, and conversational experiences.","https://play.ht","curated-trending","2026-03-15"
"WellSaid Labs","AI Voice","Professional voice generation focused on training, narration, and internal media.","https://wellsaidlabs.com","curated-trending","2026-03-15"
"Rask AI","AI Voice","AI dubbing and localization platform for multilingual video publishing.","https://www.rask.ai","curated-trending","2026-03-15"
"Whisper API","AI Voice","Speech transcription workflows using OpenAI Whisper-based pipelines.","https://platform.openai.com/docs/guides/speech-to-text","curated-trending","2026-03-15"
"Scribe Audio","AI Voice","Transcription and note extraction workflows for meetings and interviews.","https://www.scribe.ai","curated-trending","2026-03-15"
"Monday AI","AI Productivity","AI support for work management, project updates, and collaboration planning.","https://monday.com/ai","curated-trending","2026-03-15"
"Asana AI","AI Productivity","Project intelligence features for planning, status updates, and execution support.","https://asana.com/ai","curated-trending","2026-03-15"
"Todoist AI Assistant","AI Productivity","Task planning and prioritization assistance inside productivity workflows.","https://todoist.com","curated-trending","2026-03-15"
"Motion","AI Productivity","AI calendar and scheduling platform that auto-plans work across priorities.","https://www.usemotion.com","curated-trending","2026-03-15"
"Clockwise","AI Productivity","Calendar optimization assistant that protects focus time for teams.","https://www.getclockwise.com","curated-trending","2026-03-15"
"Reclaim AI","AI Productivity","Smart calendar management for balancing tasks, meetings, and habits.","https://reclaim.ai","curated-trending","2026-03-15"
"Taskade AI","AI Productivity","Collaborative workspace with AI outlining, planning, and execution agents.","https://www.taskade.com","curated-trending","2026-03-15"
"Bardeen","AI Automation","Browser automation and workflow orchestration for repetitive business operations.","https://www.bardeen.ai","curated-trending","2026-03-15"
"n8n","AI Automation","Open workflow automation platform with AI components and custom integrations.","https://n8n.io","curated-trending","2026-03-15"
"Pipedream","AI Automation","Event-driven automation platform for connecting APIs and AI workflows.","https://pipedream.com","curated-trending","2026-03-15"
"IFTTT AI","AI Automation","Automated app workflows with trigger-action logic and AI enhancements.","https://ifttt.com","curated-trending","2026-03-15"
"Tines AI","AI Automation","Security and ops automation platform with structured workflow controls.","https://www.tines.com","curated-trending","2026-03-15"
"Workato AI","AI Automation","Enterprise integration and automation with governance and process visibility.","https://www.workato.com","curated-trending","2026-03-15"
"Tray.ai","AI Automation","Composable automation workflows for go-to-market, support, and operations.","https://tray.ai","curated-trending","2026-03-15"
"Zapier Central","AI Automation","Agent-style automation layer for workflows, routing, and repetitive business tasks.","https://zapier.com","curated-trending","2026-03-15"
"UiPath Autopilot","AI Automation","Automation and process intelligence for enterprise operations and support teams.","https://www.uipath.com","curated-trending","2026-03-15"
"Retool Workflows","AI Automation","Internal workflow automation with AI logic and app-level integration.","https://retool.com","curated-trending","2026-03-15"
"Meta AI","AI Assistant","General assistant experiences integrated across Meta products and services.","https://www.meta.ai","curated-trending","2026-03-15"
"Microsoft Copilot","AI Assistant","Cross-product assistant for writing, analysis, and workplace productivity tasks.","https://copilot.microsoft.com","curated-trending","2026-03-15"
"Pi","AI Assistant","Conversational assistant focused on supportive dialogue and everyday coaching.","https://pi.ai","curated-trending","2026-03-15"
"Inflection for Enterprise","AI Assistant","Assistant deployments with enterprise controls and internal workflow support.","https://inflection.ai","curated-trending","2026-03-15"
"DuckDuckGo AI Chat","AI Assistant","Private-first AI chat experience with minimal account friction.","https://duckduckgo.com/?q=duckduckgo+ai+chat","curated-trending","2026-03-15"
"Le Chat","AI Assistant","Mistral-powered assistant for chat, document work, and practical ideation.","https://chat.mistral.ai","curated-trending","2026-03-15"
"Qwen Chat","AI Assistant","Multimodal assistant experience powered by Alibaba Qwen model family.","https://chat.qwen.ai","curated-trending","2026-03-15"
"Kimi","AI Assistant","Long-context assistant focused on document-heavy reasoning and synthesis.","https://kimi.moonshot.cn","curated-trending","2026-03-15"
"NotebookLM","AI Assistant","Research assistant centered on source-grounded summaries and audio overviews.","https://notebooklm.google","curated-trending","2026-03-15"
"Arc Max","AI Assistant","AI browsing helpers integrated into tab organization and content workflows.","https://arc.net","curated-trending","2026-03-15"
"Surfer SEO","AI Writing","Content optimization platform for SERP-focused planning, drafting, and updates.","https://surferseo.com","curated-trending","2026-03-15"
"Frase","AI Writing","SEO content research and writing workspace for faster ranking article production.","https://www.frase.io","curated-trending","2026-03-15"
"Scalenut","AI Writing","AI writing and SEO planning platform for content teams and marketers.","https://www.scalenut.com","curated-trending","2026-03-15"
"Rytr","AI Writing","Lightweight AI writing assistant for short-form marketing and business copy.","https://rytr.me","curated-trending","2026-03-15"
"Anyword","AI Writing","Performance-focused writing platform with predictive copy scoring for ads.","https://anyword.com","curated-trending","2026-03-15"
"LongShot AI","AI Writing","Long-form writing assistant for research-backed article drafting workflows.","https://www.longshot.ai","curated-trending","2026-03-15"
"INK AI","AI Writing","SEO-driven writing assistant for blogs, landing pages, and product content.","https://inkforall.com","curated-trending","2026-03-15"
"HyperWrite","AI Writing","Workflow writing co-pilot for ideation, rewriting, and email composition.","https://www.hyperwriteai.com","curated-trending","2026-03-15"
"Sudowrite","AI Writing","Creative writing assistant for fiction drafting and narrative improvement.","https://www.sudowrite.com","curated-trending","2026-03-15"
"Hemingway Editor AI","AI Writing","Writing clarity support with readability suggestions and draft refinement.","https://hemingwayapp.com","curated-trending","2026-03-15"
"PhotoRoom","AI Image","Product photo creation and background editing workflows for commerce teams.","https://www.photoroom.com","curated-trending","2026-03-15"
"Pixlr AI","AI Image","Browser-based image editor with AI generation and enhancement utilities.","https://pixlr.com","curated-trending","2026-03-15"
"Canva Magic Studio","AI Image","Design workflow suite with brand templates and AI-assisted visual production.","https://www.canva.com/magic-studio/","curated-trending","2026-03-15"
"Bing Image Creator","AI Image","Prompt-driven image generation powered through Microsoft ecosystem experiences.","https://www.bing.com/images/create","curated-trending","2026-03-15"
"Dream by WOMBO","AI Image","Fast artistic image generation for creators and social-first visuals.","https://www.wombo.ai","curated-trending","2026-03-15"
"Mage Space","AI Image","Model-flexible image generation platform with experimentation-focused controls.","https://www.mage.space","curated-trending","2026-03-15"
"Leonardo Canvas","AI Image","Extended creative workflows for compositing, ideation, and production assets.","https://leonardo.ai","curated-trending","2026-03-15"
"Fooocus","AI Image","Simplified image generation interface for stable visual iteration workflows.","https://github.com/lllyasviel/Fooocus","curated-trending","2026-03-15"
"ComfyUI","AI Image","Node-based visual pipeline builder for advanced generative image workflows.","https://github.com/comfyanonymous/ComfyUI","curated-trending","2026-03-15"
"InvokeAI","AI Image","Professional image generation toolkit with local-first deployment options.","https://www.invoke.ai","curated-trending","2026-03-15"
"Colossyan","AI Video","Avatar-based video creation platform for training and internal communications.","https://www.colossyan.com","curated-trending","2026-03-15"
"D-ID","AI Video","Talking-head video generation from scripts and audio for business content.","https://www.d-id.com","curated-trending","2026-03-15"
"Elai","AI Video","Presenter video generation platform for education and product explainers.","https://elai.io","curated-trending","2026-03-15"
"Hour One","AI Video","AI presenters and studio templates for scalable business video production.","https://hourone.ai","curated-trending","2026-03-15"
"HeyGen Avatars","AI Video","Avatar-led multilingual video workflows for marketing and onboarding content.","https://www.heygen.com","curated-trending","2026-03-15"
"Animoto AI","AI Video","Template-first video builder with automation for quick social exports.","https://animoto.com","curated-trending","2026-03-15"
"Kapwing AI","AI Video","Web video editor with AI subtitling, repurposing, and collaboration tools.","https://www.kapwing.com","curated-trending","2026-03-15"
"Descript Overdub","AI Video","Voice and transcript production workflows for podcasters and video teams.","https://www.descript.com/overdub","curated-trending","2026-03-15"
"Flowjin","AI Video","Converts long-form talks and podcasts into short clips with captions.","https://www.flowjin.com","curated-trending","2026-03-15"
